HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy_ID,Alloy,Num_of_Elem,VEC,Atom.Size.Diff,Elect.Diff,dHmix,dSmix,,Sythesis_Route Hot-Cold_Working Homog_Temp,,Homog_Time,Anneal_Temp,Anneal_Time,Quench_Proc,Phases,References
Alloy 0136,AlCoCrFeMo0.5Ni,6,7.09,5.47,0.16,-11.44,14.7,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2010.07.028
Alloy 0137,AlCoCrFeNi,5,7.2,5.25,0.12,-12.32,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2011.10.110
Alloy 0138,AlCoCrFeNb0.1Ni,6,7.16,5.9189,0.1219,-13.318,13.92,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2011.10.110
Alloy 0139,AlCoCrFeNb0.25Ni,6,7.1,6.0987,0.1236,-14.6576,14.34,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2011.10.110
Alloy 0140,AlCoCrFeNb0.5Ni,6,7,6.3318,0.1258,-16.5289,14.7,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2011.10.110
Alloy 0141,AlCoCrFeNiSi0.2,6,7.08,6.0185,0.1205,-16.3905,14.22,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2010.07.049
Alloy 0142,AlCoCrFeNiSi0.4,6,6.96,6.2138,0.1203,-19.8354,14.59,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2010.07.049
Alloy 0143,AlCoCrFeNiSi0.6,6,6.86,6.3733,0.12,-22.7551,14.78,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2010.07.049
Alloy 0144,AlCoCrFeNiSi0.8,6,6.76,6.5041,0.1196,-25.2319,14.87,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2010.07.049
Alloy 0145,AlCoCrFeNiSi,6,6.67,6.6113,0.1191,-27.3333,14.9,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2010.07.049
Alloy 0146,CoCrCu1FeNiTi0.5,5,8.36,4.8222,0.1224,-17.0579,14.7,AC,-,-,-,-,-,-,FCC_SS,10.1016/j.jallcom.2008.11.059
